,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax
127,730.0,flat,rent,50.0,True,1,1,Madrid,Rivas-Vaciamadrid,16410,good,False,desconocido,Rivas Futura,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.16129032258064518,0.28764646446741
128,735.0,studio,rent,30.0,True,0,1,Madrid,Madrid,11188,good,False,2,Fuencarral,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.05376344086021506,0.1950791484232358
129,610.0,flat,rent,72.0,False,1,1,Madrid,Pinto,19544,good,False,bj,San José - Buenos Aires,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2795698924731183,0.3432010352223778
130,580.0,chalet,rent,54.0,False,3,2,Madrid,Los Santos de la Humosa,39053,good,False,desconocido,desconocido,desconocido,desconocido,0.1827956989247312,0.6890255792104657
131,725.0,flat,rent,50.0,True,1,1,Madrid,Villanueva del Pardillo,23787,good,False,en,Centro,False,desconocido,0.16129032258064518,0.4184141953095918
132,750.0,flat,rent,48.0,True,1,1,Madrid,Madrid,5085,good,False,1,Carabanchel,False,desconocido,0.15053763440860213,0.08689486465885522
133,750.0,flat,rent,70.0,True,3,1,Madrid,Alcalá de Henares,29660,good,False,2,San Isidro - Los Almendros,False,desconocido,0.2688172043010753,0.5225214046407743
134,750.0,flat,rent,49.0,True,1,1,Madrid,Madrid,8465,good,False,7,Hortaleza,True,desconocido,0.15591397849462368,0.14681013241628704
135,730.0,flat,rent,60.0,True,3,1,Madrid,Parla,20948,good,False,3,Reyes,False,desconocido,0.21505376344086025,0.36808891567546487
136,560.0,flat,rent,26.0,False,1,1,Madrid,Madrid,625,good,False,bj,Centro,False,desconocido,0.03225806451612903,0.00783507347597185
137,700.0,studio,rent,23.0,True,0,1,Madrid,Madrid,1271,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.016129032258064516,0.019286334710084556
138,750.0,flat,rent,80.0,True,3,1,Madrid,San Fernando de Henares,14991,good,False,2,Parque Roma - Coronas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.32258064516129037,0.2624926878556361
139,730.0,flat,rent,70.0,True,3,1,Madrid,Pinto,18781,good,False,3,Parque Europa - Los Pitufos,False,desconocido,0.2688172043010753,0.32967578395050784
140,730.0,flat,rent,52.0,True,2,1,Madrid,Madrid,8827,good,False,4,Vicálvaro,False,desconocido,0.17204301075268819,0.15322709304592916
141,740.0,flat,rent,64.0,True,2,1,Madrid,Madrid,8365,good,False,3,Villaverde,False,desconocido,0.23655913978494625,0.14503749135837485
142,720.0,flat,rent,65.0,True,2,1,Madrid,Madrid,7511,good,False,2,Villaverde,False,desconocido,0.24193548387096775,0.12989913672380482
143,720.0,flat,rent,63.0,True,2,1,Madrid,Torrejón de Ardoz,19731,good,False,2,Noroeste,False,desconocido,0.23118279569892475,0.3465158740006736
144,740.0,flat,rent,54.0,True,2,1,Madrid,Madrid,6636,good,False,1,Villaverde,True,desconocido,0.1827956989247312,0.11438852746707319
145,720.0,flat,rent,52.0,True,2,1,Madrid,Getafe,12695,good,False,3,La Alhóndiga,False,desconocido,0.17204301075268819,0.2217928491659724
146,730.0,flat,rent,45.0,True,2,1,Madrid,Madrid,4385,good,False,3,Puente de Vallecas,False,desconocido,0.13440860215053763,0.07448637725346995
147,600.0,duplex,rent,80.0,False,1,1,Madrid,Madrid,7223,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.32258064516129037,0.12479393047701771
148,600.0,duplex,rent,80.0,False,1,1,Madrid,Madrid,7141,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.32258064516129037,0.12334036480952972
149,725.0,duplex,rent,71.0,True,2,1,Madrid,Cobeña,23158,good,False,1,desconocido,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2741935483870968,0.40726428305532414
150,675.0,flat,rent,76.0,True,3,1,Madrid,Aldea del Fresno,43485,good,False,2,desconocido,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.3010752688172043,0.7675890308971337
151,750.0,flat,rent,54.0,True,1,1,Madrid,San Sebastián de los Reyes,15834,good,False,3,Centro Urbano,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1827956989247312,0.2774360519738358
152,750.0,duplex,rent,79.0,True,2,2,Madrid,Collado Villalba,34697,good,False,1,Villalba Estación,False,desconocido,0.3172043010752688,0.6118093347278111
153,700.0,flat,rent,54.0,True,1,1,Madrid,Madrid,3354,good,False,2,Usera,True,desconocido,0.1827956989247312,0.05621044794639534
154,750.0,flat,rent,54.0,True,2,1,Madrid,Madrid,8322,good,False,3,Villaverde,False,desconocido,0.1827956989247312,0.1442752557034726
155,730.0,flat,rent,48.0,True,2,1,Madrid,Madrid,6997,good,False,3,San Blas,False,desconocido,0.15053763440860213,0.12078776168613617
156,650.0,flat,rent,61.0,True,2,1,Madrid,Alcalá de Henares,28605,good,False,4,Reyes Católicos,False,desconocido,0.22043010752688175,0.5038200414798009
157,730.0,flat,rent,63.0,True,2,1,Madrid,Madrid,7893,good,False,1,Villaverde,False,desconocido,0.23118279569892475,0.13667062556502935
158,720.0,flat,rent,50.0,True,2,1,Madrid,Madrid,7041,good,False,2,San Blas,False,desconocido,0.16129032258064518,0.12156772375161753
159,720.0,flat,rent,51.0,True,2,1,Madrid,Madrid,6973,good,False,1,San Blas,False,desconocido,0.16666666666666669,0.12036232783223726
160,750.0,flat,rent,47.0,True,2,1,Madrid,Madrid,4538,good,False,1,Puente de Vallecas,False,desconocido,0.14516129032258063,0.07719851807207559
161,730.0,flat,rent,50.0,True,2,1,Madrid,Madrid,7411,good,False,3,Villaverde,False,desconocido,0.16129032258064518,0.12812649566589263
162,730.0,flat,rent,40.0,True,2,1,Madrid,Madrid,4201,good,False,2,Puente de Vallecas,False,desconocido,0.10752688172043012,0.07122471770691152
163,670.0,flat,rent,67.0,True,2,1,Madrid,Valdemoro,25100,good,False,1,Zona Estación,True,desconocido,0.25268817204301075,0.44168897239997873
